ts,mode,callsP50,trisP50,heapMax,meshQEnd,frameP50,frameP95,day,night
2026-08-27T09:03:37.383Z,capture,51,109255,35,0,26,33,golden-day.png,golden-night.png
2026-08-27T09:04:27.656Z,gate,51,109255,35,0,28,33,golden-day.png,golden-night.png
2026-08-27T09:05:22.166Z,capture,53,110446,35,0,30,33,golden-day.png,golden-night.png
2026-08-27T09:05:59.213Z,gate,53,110446,35,0,32,50,golden-day.png,golden-night.png
2026-08-27T09:08:36.952Z,gate,53,110446,35,0,32,34,,
2026-08-27T09:11:52.891Z,gate,50,64955,45,0,21,33,,
2026-08-27T09:14:06.198Z,gate,51,64967,63,0,27,33,,
2026-08-27T09:16:17.162Z,gate,53,64980,63,0,26,33,,
2026-08-27T09:17:36.820Z,gate,50,64955,57,0,27,33,,
2026-08-27T09:18:55.603Z,gate,51,64967,56,0,28,33,,
2026-08-27T09:21:31.886Z,gate,53,110446,84,0,35,50,,
2026-08-27T09:55:44.076Z,gate,53,110446,82,0,34,50,,
2026-08-27T09:58:20.394Z,gate,54,111636,91,0,33,50,,
2026-08-27T09:59:16.149Z,capture,50,108065,73,0,35,50,golden-day.png,golden-night.png
2026-08-27T09:59:49.585Z,gate,53,110446,73,0,34,50,,
2026-08-27T10:01:33.114Z,gate,48,105684,88,0,34,50,,
2026-08-27T10:03:42.800Z,gate,49,106874,93,0,34,50,,
2026-08-27T10:05:19.022Z,gate,49,106936,91,0,34,50,,
2026-08-27T10:24:17.056Z,gate,49,106874,36,0,27,33,,
2026-08-27T10:27:26.785Z,gate,49,106936,45,0,33,50,,
2026-08-27T12:04:05.871Z,gate,48,105744,32,0,29,33,,
2026-08-27T12:20:27.346Z,gate,50,108129,51,0,34,50,,
2026-08-28T13:22:57.214Z,gate,50,108118,31,0,28,33,,
2026-08-28T14:17:18.363Z,gate,50,108118,43,0,36,50,,
2026-08-28T19:59:19.422Z,gate,50,106828,40,0,28,33,,
2026-08-28T20:00:43.065Z,capture,51,108018,57,0,32,34,golden-day.png,golden-night.png
2026-08-28T20:01:16.287Z,gate,50,106828,48,0,32,33,,
2026-08-28T20:46:58.520Z,gate,51,108018,44,0,31,33,,
2026-08-28T21:00:39.451Z,gate,50,106828,62,0,35,50,,
2026-08-28T21:07:48.615Z,gate,53,109208,60,0,35,50,,
2026-08-28T22:09:33.801Z,gate,50,106828,45,0,33,50,,
2026-08-28T23:04:03.809Z,gate,53,109208,50,0,29,33,,
2026-08-28T23:08:16.428Z,gate,56,111588,43,0,30,33,,
2026-08-29T06:08:12.719Z,gate,48,105638,46,0,26,33,,
2026-08-29T06:50:52.089Z,gate,50,106828,51,0,36,50,,
2026-08-30T12:43:19.664Z,gate,50,106828,48,0,29,33,,
2026-09-05T15:51:55.557Z,gate,54,168796,68,0,40,50,,
